Share Symbol,Name,Number of transaction,Max Price,Min Price,Closing Price,Difference,Traded Shares,Traded Amount,Previous Closing,Percent Difference,Date
ILI,IME Life Insurance Company Limited,27918,Rs. 619.0,Rs. 585.0,Rs. 589.0,-27.0,299597,178932202.6,616.0,-4.38,"08 August, 2023"
ILI,IME Life Insurance Company Limited,19750,Rs. 600.7,Rs. 571.2,Rs. 597.3,8.3,266818,155026202.2,589.0,1.41,"09 August, 2023"
ILI,IME Life Insurance Company Limited,10825,Rs. 609.0,Rs. 583.0,Rs. 590.0,-7.3,141998,84078844.8,597.3,-1.22,"10 August, 2023"
ILI,IME Life Insurance Company Limited,13970,Rs. 595.0,Rs. 580.0,Rs. 580.8,-9.2,182198,106195208.6,590.0,-1.56,"13 August, 2023"
ILI,IME Life Insurance Company Limited,11445,Rs. 596.8,Rs. 569.2,Rs. 589.9,9.1,191385,112441979.6,580.8,1.57,"14 August, 2023"
ILI,IME Life Insurance Company Limited,6297,Rs. 600.0,Rs. 580.3,Rs. 581.0,-8.9,98939,57775243.8,589.9,-1.51,"15 August, 2023"
ILI,IME Life Insurance Company Limited,4651,Rs. 585.0,Rs. 575.2,Rs. 576.9,-4.1,103174,59662670.3,581.0,-0.71,"16 August, 2023"
ILI,IME Life Insurance Company Limited,6037,Rs. 590.0,Rs. 571.0,Rs. 583.1,6.2,133203,77941378.1,576.9,1.07,"17 August, 2023"
ILI,IME Life Insurance Company Limited,5409,Rs. 585.0,Rs. 578.0,Rs. 580.0,-3.1,114230,66301070.7,583.1,-0.53,"20 August, 2023"
ILI,IME Life Insurance Company Limited,3842,Rs. 582.9,Rs. 572.1,Rs. 577.0,-3.0,101241,58377288.5,580.0,-0.52,"21 August, 2023"
ILI,IME Life Insurance Company Limited,3985,Rs. 579.0,Rs. 567.0,Rs. 576.0,-1.0,61149,35115293.5,577.0,-0.17,"22 August, 2023"
ILI,IME Life Insurance Company Limited,4477,Rs. 585.0,Rs. 574.0,Rs. 579.1,3.1,94254,54642813.7,576.0,0.54,"23 August, 2023"
ILI,IME Life Insurance Company Limited,3925,Rs. 590.0,Rs. 570.0,Rs. 570.2,-8.9,85739,49248761.4,579.1,-1.54,"24 August, 2023"
ILI,IME Life Insurance Company Limited,4782,Rs. 570.0,Rs. 555.0,Rs. 558.0,-12.2,97116,54517226.7,570.2,-2.14,"27 August, 2023"
ILI,IME Life Insurance Company Limited,3761,Rs. 564.0,Rs. 551.1,Rs. 554.5,-3.5,69132,38488289.2,558.0,-0.63,"28 August, 2023"
ILI,IME Life Insurance Company Limited,0,Rs. 558.0,Rs. 550.0,Rs. 550.1,-4.4,56772,31314436.7,554.5,-0.79,"29 August, 2023"
ILI,IME Life Insurance Company Limited,3176,Rs. 554.0,Rs. 548.0,Rs. 549.2,-1.7,60855,33561227.8,550.9,-0.31,"30 August, 2023"
ILI,IME Life Insurance Company Limited,3705,Rs. 553.0,Rs. 541.0,Rs. 541.3,-7.9,69096,37641946.1,549.2,-1.44,"03 September, 2023"
ILI,IME Life Insurance Company Limited,3719,Rs. 559.0,Rs. 540.0,Rs. 559.0,17.7,96212,52884032.5,541.3,3.27,"04 September, 2023"
ILI,IME Life Insurance Company Limited,2576,Rs. 560.0,Rs. 552.0,Rs. 556.4,-2.6,50793,28241754.2,559.0,-0.47,"05 September, 2023"
ILI,IME Life Insurance Company Limited,2248,Rs. 551.1,Rs. 544.3,Rs. 545.5,-10.9,57647,31488083.1,556.4,-1.96,"07 September, 2023"
