Share Symbol,Name,Number of transaction,Max Price,Min Price,Closing Price,Difference,Traded Shares,Traded Amount,Previous Closing,Percent Difference,Date
GVL,Green Ventures Limited,221,Rs. 342,Rs. 320,Rs. 331,-11.7,16218.00,5319675.00,342.7,-3.41,"15 September, 2022"
GVL,Green Ventures Limited,93,Rs. 304,Rs. 288.6,Rs. 300,0.0,3698.00,1098175.00,300,0.0,"12 October, 2022"
GVL,Green Ventures Limited,91,Rs. 300,Rs. 296,Rs. 299.9,-0.1,3630.00,1082475.50,300,-0.03,"13 October, 2022"
GVL,Green Ventures Limited,173,Rs. 300,Rs. 285,Rs. 293.8,-6.1,6555.00,1903610.50,299.9,-2.03,"16 October, 2022"
GVL,Green Ventures Limited,118,Rs. 300.8,Rs. 284,Rs. 300.8,7.0,3267.00,943351.20,293.8,2.38,"17 October, 2022"
GVL,Green Ventures Limited,111,Rs. 295,Rs. 284.7,Rs. 290,-10.8,4750.00,1366998.00,300.8,-3.59,"19 October, 2022"
GVL,Green Ventures Limited,126,Rs. 289,Rs. 278.7,Rs. 280.1,-9.9,9990.00,2813001.00,290,-3.41,"20 October, 2022"
GVL,Green Ventures Limited,78,Rs. 285.7,Rs. 276,Rs. 285,4.9,1265.00,354532.00,280.1,1.75,"23 October, 2022"
GVL,Green Ventures Limited,96,Rs. 290,Rs. 277.1,Rs. 283,-2.0,2600.00,729730.00,285,-0.7,"31 October, 2022"
GVL,Green Ventures Limited,147,Rs. 299,Rs. 278.1,Rs. 299,16.0,9489.00,2767673.00,283,5.65,"01 November, 2022"
GVL,Green Ventures Limited,133,Rs. 308.2,Rs. 294,Rs. 301.5,2.5,9004.00,2698679.40,299,0.84,"02 November, 2022"
GVL,Green Ventures Limited,129,Rs. 300.9,Rs. 291,Rs. 291,-10.5,11934.00,3502875.60,301.5,-3.48,"03 November, 2022"
GVL,Green Ventures Limited,180,Rs. 303,Rs. 282.1,Rs. 303,12.0,5855.00,1736968.00,291,4.12,"06 November, 2022"
GVL,Green Ventures Limited,174,Rs. 306,Rs. 295.1,Rs. 295.2,-7.8,7569.00,2266718.80,303,-2.57,"07 November, 2022"
GVL,Green Ventures Limited,111,Rs. 306,Rs. 291,Rs. 295,-0.2,4260.00,1256817.50,295.2,-0.07,"08 November, 2022"
GVL,Green Ventures Limited,130,Rs. 300,Rs. 284.4,Rs. 289.9,-5.1,12930.00,3704982.10,295,-1.73,"09 November, 2022"
GVL,Green Ventures Limited,116,Rs. 295.5,Rs. 275.7,Rs. 286,-3.9,10474.00,2967781.00,289.9,-1.35,"10 November, 2022"
GVL,Green Ventures Limited,138,Rs. 287.7,Rs. 275.1,Rs. 276.5,-9.5,5002.00,1402182.00,286,-3.32,"13 November, 2022"
GVL,Green Ventures Limited,105,Rs. 285,Rs. 272,Rs. 280,3.5,2648.00,736251.10,276.5,1.27,"14 November, 2022"
GVL,Green Ventures Limited,109,Rs. 285.6,Rs. 276,Rs. 280,0.0,5567.00,1558866.00,280,0.0,"15 November, 2022"
GVL,Green Ventures Limited,113,Rs. 289.9,Rs. 275.3,Rs. 289.9,9.9,6438.00,1836649.30,280,3.54,"16 November, 2022"
GVL,Green Ventures Limited,154,Rs. 304,Rs. 284.5,Rs. 296,6.1,16667.00,4942701.70,289.9,2.1,"17 November, 2022"
GVL,Green Ventures Limited,169,Rs. 301.9,Rs. 283,Rs. 286,-10.0,17851.00,5159593.90,296,-3.38,"22 November, 2022"
GVL,Green Ventures Limited,109,Rs. 291.7,Rs. 281.7,Rs. 283.5,-2.5,6134.00,1741587.10,286,-0.87,"23 November, 2022"
