Share Symbol,Name,Number of transaction,Max Price,Min Price,Closing Price,Difference,Traded Shares,Traded Amount,Previous Closing,Percent Difference,Date
RULB,Rastra Utthan Laghubitta Sanstha Limited,100,Rs. 1068,Rs. 1000,Rs. 1002,-46.0,2572.00,2607646.80,1048,-4.39,"15 September, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,36,Rs. 962.4,Rs. 908.2,Rs. 955,30.0,900.00,850272.00,925,3.24,"12 October, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,50,Rs. 960,Rs. 930,Rs. 939,-16.0,1410.00,1323270.00,955,-1.68,"13 October, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,66,Rs. 960,Rs. 921,Rs. 930,-9.0,1468.00,1381219.00,939,-0.96,"16 October, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,48,Rs. 940,Rs. 912,Rs. 931,1.0,620.00,577750.00,930,0.11,"17 October, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,67,Rs. 923,Rs. 900,Rs. 905.5,-25.5,1310.00,1193206.00,931,-2.74,"19 October, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,38,Rs. 906.5,Rs. 889.1,Rs. 894,-11.5,1451.00,1300457.00,905.5,-1.27,"20 October, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,33,Rs. 951,Rs. 877,Rs. 915,21.0,405.00,368747.00,894,2.35,"23 October, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,52,Rs. 920,Rs. 898,Rs. 899,-16.0,1115.00,1006397.00,915,-1.75,"31 October, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,72,Rs. 930,Rs. 891,Rs. 920.1,21.1,1186.00,1091645.60,899,2.35,"01 November, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,108,Rs. 930,Rs. 890,Rs. 910,-10.1,2948.00,2686880.00,920.1,-1.1,"02 November, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,66,Rs. 910,Rs. 882,Rs. 882,-28.0,1410.00,1260269.00,910,-3.08,"03 November, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,122,Rs. 969,Rs. 882,Rs. 956,74.0,2427.00,2289697.10,882,8.39,"06 November, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,96,Rs. 975.1,Rs. 920,Rs. 925,-31.0,2485.00,2365535.40,956,-3.24,"07 November, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,76,Rs. 925.7,Rs. 900,Rs. 915,-10.0,2204.00,2004219.10,925,-1.08,"08 November, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,64,Rs. 919,Rs. 885,Rs. 887.2,-27.8,1350.00,1208812.00,915,-3.04,"09 November, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,68,Rs. 904.9,Rs. 873,Rs. 875,-12.2,1673.00,1478878.50,887.2,-1.38,"10 November, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,54,Rs. 895,Rs. 857.5,Rs. 860,-15.0,1203.00,1052866.00,875,-1.71,"13 November, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,45,Rs. 880,Rs. 855,Rs. 879,19.0,840.00,726544.00,860,2.21,"14 November, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,39,Rs. 887,Rs. 868.5,Rs. 870,-9.0,891.00,783589.00,879,-1.02,"15 November, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,42,Rs. 887.4,Rs. 863,Rs. 865,-5.0,1030.00,893289.00,870,-0.57,"16 November, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,57,Rs. 881,Rs. 860,Rs. 867,2.0,2121.00,1842267.40,865,0.23,"17 November, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,50,Rs. 898,Rs. 860,Rs. 862.7,-4.3,830.00,724046.20,867,-0.5,"22 November, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,37,Rs. 875,Rs. 855,Rs. 860,-2.7,885.00,763741.00,862.7,-0.31,"23 November, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,39,Rs. 877,Rs. 855.2,Rs. 860,0.0,710.00,615183.00,860,0.0,"24 November, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,80,Rs. 889.9,Rs. 860,Rs. 889.9,29.9,1354.00,1182859.00,860,3.48,"27 November, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,72,Rs. 907.6,Rs. 890,Rs. 896,6.1,2533.00,2273441.50,889.9,0.69,"28 November, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,49,Rs. 915,Rs. 880,Rs. 915,19.0,925.00,836558.00,896,2.12,"29 November, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,83,Rs. 933,Rs. 906,Rs. 929,14.0,2618.00,2413493.30,915,1.53,"30 November, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,43,Rs. 925,Rs. 910.5,Rs. 916,-13.0,1205.00,1104052.50,929,-1.4,"01 December, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,68,Rs. 928.9,Rs. 914,Rs. 915,-1.0,1344.00,1234102.00,916,-0.11,"04 December, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,50,Rs. 919.9,Rs. 885,Rs. 885.1,-29.9,1260.00,1131980.00,915,-3.27,"05 December, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,44,Rs. 898,Rs. 872,Rs. 898,12.9,820.00,726425.00,885.1,1.46,"06 December, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,36,Rs. 890,Rs. 880.2,Rs. 884.1,-13.9,798.00,707714.00,898,-1.55,"07 December, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,40,Rs. 885,Rs. 867.2,Rs. 870,-14.1,940.00,819716.00,884.1,-1.59,"11 December, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,51,Rs. 882,Rs. 860,Rs. 868,-2.0,1112.00,965567.20,870,-0.23,"12 December, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,20,Rs. 883.9,Rs. 870,Rs. 870.1,2.1,320.00,280891.00,868,0.24,"13 December, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,26,Rs. 887.5,Rs. 870,Rs. 874,3.9,515.00,449842.00,870.1,0.45,"14 December, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,24,Rs. 877,Rs. 857,Rs. 867,-7.0,342.00,296960.80,874,-0.8,"15 December, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,65,Rs. 862,Rs. 846,Rs. 846.5,-20.5,1128.00,960973.20,867,-2.36,"18 December, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,32,Rs. 880,Rs. 830.3,Rs. 880,33.5,430.00,368596.00,846.5,3.96,"19 December, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,39,Rs. 894,Rs. 860,Rs. 863.5,-16.5,760.00,659320.00,880,-1.88,"20 December, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,46,Rs. 868.9,Rs. 845,Rs. 845,-18.5,904.00,771468.80,863.5,-2.14,"21 December, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,36,Rs. 860,Rs. 845,Rs. 850,5.0,470.00,399071.50,845,0.59,"22 December, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,58,Rs. 891,Rs. 860,Rs. 888,38.0,1658.00,1454384.50,850,4.47,"26 December, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,84,Rs. 910,Rs. 888,Rs. 888,0.0,1927.00,1730709.40,888,0.0,"27 December, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,50,Rs. 905.7,Rs. 882,Rs. 882,-6.0,1006.00,897762.00,888,-0.68,"28 December, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,53,Rs. 900,Rs. 880,Rs. 900,18.0,1529.00,1367848.00,882,2.04,"29 December, 2022"
RULB,Rastra Utthan Laghubitta Sanstha Limited,134,Rs. 950,Rs. 882,Rs. 897,-3.0,5337.00,4916458.70,900,-0.33,"01 January, 2023"
RULB,Rastra Utthan Laghubitta Sanstha Limited,70,Rs. 931,Rs. 880,Rs. 905,8.0,1299.00,1185822.50,897,0.89,"02 January, 2023"
RULB,Rastra Utthan Laghubitta Sanstha Limited,157,Rs. 969,Rs. 900.1,Rs. 939,34.0,5799.00,5461961.00,905,3.76,"03 January, 2023"
RULB,Rastra Utthan Laghubitta Sanstha Limited,117,Rs. 990,Rs. 936,Rs. 980,41.0,3919.00,3748395.50,939,4.37,"04 January, 2023"
RULB,Rastra Utthan Laghubitta Sanstha Limited,198,Rs. 1047,Rs. 982,Rs. 1015,35.0,9149.00,9197792.50,980,3.57,"05 January, 2023"
RULB,Rastra Utthan Laghubitta Sanstha Limited,128,Rs. 1045,Rs. 990,Rs. 990,-25.0,5637.00,5704033.00,1015,-2.46,"08 January, 2023"
RULB,Rastra Utthan Laghubitta Sanstha Limited,163,Rs. 1024,Rs. 972,Rs. 1005,15.0,4294.00,4323028.00,990,1.52,"09 January, 2023"
RULB,Rastra Utthan Laghubitta Sanstha Limited,163,Rs. 1024,Rs. 953,Rs. 980,-25.0,4604.00,4625415.70,1005,-2.49,"10 January, 2023"
RULB,Rastra Utthan Laghubitta Sanstha Limited,125,Rs. 1010,Rs. 956,Rs. 979.3,-0.7,3696.00,3601846.00,980,-0.07,"12 January, 2023"
RULB,Rastra Utthan Laghubitta Sanstha Limited,105,Rs. 998,Rs. 935,Rs. 978,-1.3,3656.00,3522654.00,979.3,-0.13,"17 January, 2023"
RULB,Rastra Utthan Laghubitta Sanstha Limited,137,Rs. 997,Rs. 950,Rs. 969,-9.0,3598.00,3469933.00,978,-0.92,"18 January, 2023"
RULB,Rastra Utthan Laghubitta Sanstha Limited,109,Rs. 969,Rs. 936,Rs. 950,-19.0,2831.00,2693708.90,969,-1.96,"19 January, 2023"
RULB,Rastra Utthan Laghubitta Sanstha Limited,92,Rs. 984.9,Rs. 932,Rs. 947,-3.0,1516.00,1439507.00,950,-0.32,"23 January, 2023"
RULB,Rastra Utthan Laghubitta Sanstha Limited,66,Rs. 950,Rs. 930,Rs. 940,-7.0,1510.00,1418362.00,947,-0.74,"24 January, 2023"
RULB,Rastra Utthan Laghubitta Sanstha Limited,91,Rs. 965,Rs. 945,Rs. 958.9,18.9,3109.00,2970010.20,940,2.01,"25 January, 2023"
RULB,Rastra Utthan Laghubitta Sanstha Limited,136,Rs. 999.6,Rs. 958,Rs. 977,18.1,4136.00,4040313.50,958.9,1.89,"26 January, 2023"
RULB,Rastra Utthan Laghubitta Sanstha Limited,113,Rs. 951.6,Rs. 930,Rs. 930.1,-14.9,3372.00,3159545.00,945,-1.58,"30 January, 2023"
RULB,Rastra Utthan Laghubitta Sanstha Limited,74,Rs. 948,Rs. 912,Rs. 928,-2.1,1225.00,1132603.00,930.1,-0.23,"31 January, 2023"
RULB,Rastra Utthan Laghubitta Sanstha Limited,67,Rs. 946.5,Rs. 915,Rs. 929,1.0,765.00,704329.00,928,0.11,"01 February, 2023"
RULB,Rastra Utthan Laghubitta Sanstha Limited,73,Rs. 944.8,Rs. 904,Rs. 911,-18.0,3295.00,3024429.50,929,-1.94,"02 February, 2023"
